index,type,name,count,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L90,L91,L92,L93,L94,L95,L96,L97,L98,L99,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,L110,L111,L112,L113,L114,L115,L116,L117,L118,L119,L120,L121,L122,L123,L124,L125,L126,L127,L128,L129,L130,L131,L132,L133,L134,L135,L136,L137,L138,L139,L140,L141,L142,L143,L144,L145,L146,L147,L148,L149,L150,L151,L152,L153,L154,L155,L156,L157,L158,L159,L160,L161,L162,L163,L164,L165,L166,L167,L168,L169,L170,L171,L172,L173,L174,L175,L176,L177,L178,L179,L180,L181,L182,L183,L184,L185,L186,L187,L188,L189,L190,L191,L192,L193,L194,L195,L196,L197,L198,L199,L200,split
191,pull_up,stu9_41.mp4,9.0,56.0,160.0,160.0,267.0,660.0,765.0,765.0,848.0,848.0,945.0,1525.0,1605.0,1605.0,1671.0,1671.0,1727.0,1727.0,1798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
192,squat,stu6_67.mp4,20.0,49.0,86.0,88.0,136.0,137.0,189.0,191.0,239.0,242.0,290.0,292.0,343.0,347.0,391.0,394.0,444.0,450.0,491.0,506.0,547.0,787.0,830.0,836.0,882.0,884.0,922.0,924.0,971.0,974.0,1017.0,1021.0,1060.0,1063.0,1100.0,1106.0,1146.0,1152.0,1188.0,1193.0,1233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
193,pull_up,stu3_36.mp4,8.0,139.0,246.0,246.0,340.0,340.0,432.0,432.0,553.0,691.0,855.0,855.0,926.0,927.0,998.0,998.0,1049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
194,sit_up,stu1_65.mp4,3.0,39.0,124.0,124.0,204.0,204.0,299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
195,squat,test2319.mp4,7.0,0.0,37.0,37.0,66.0,66.0,98.0,98.0,127.0,127.0,157.0,157.0,189.0,189.0,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
196,jump_jacks,stu4_26.mp4,20.0,131.0,188.0,188.0,252.0,253.0,309.0,309.0,369.0,370.0,428.0,429.0,483.0,484.0,541.0,541.0,604.0,604.0,661.0,662.0,723.0,1052.0,1106.0,1106.0,1168.0,1168.0,1229.0,1229.0,1282.0,1282.0,1344.0,1344.0,1400.0,1400.0,1459.0,1460.0,1514.0,1515.0,1573.0,1573.0,1632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
197,front_raise,stu3_11.mp4,3.0,17.0,100.0,100.0,176.0,176.0,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
198,pull_up,test1448.mp4,7.0,9.0,38.0,38.0,68.0,68.0,97.0,97.0,123.0,123.0,154.0,154.0,178.0,178.0,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
199,battle_rope,stu5_1.mp4,17.0,48.0,60.0,60.0,72.0,72.0,84.0,84.0,96.0,96.0,107.0,107.0,121.0,121.0,132.0,132.0,143.0,143.0,152.0,152.0,166.0,166.0,177.0,177.0,187.0,187.0,201.0,201.0,214.0,214.0,225.0,225.0,235.0,235.0,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
200,pull_up,stu5_35.mp4,11.0,16.0,88.0,88.0,149.0,149.0,222.0,222.0,296.0,296.0,383.0,383.0,459.0,460.0,547.0,547.0,652.0,652.0,750.0,750.0,921.0,1007.0,1161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
201,squat,stu4_62.mp4,14.0,37.0,112.0,145.0,217.0,223.0,313.0,327.0,419.0,435.0,536.0,551.0,647.0,666.0,745.0,762.0,873.0,884.0,981.0,1000.0,1093.0,1113.0,1179.0,1198.0,1281.0,1289.0,1390.0,1406.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
202,pull_up,stu6_36.mp4,5.0,58.0,137.0,139.0,219.0,547.0,613.0,614.0,705.0,707.0,790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
203,front_raise,test531.mp4,4.0,0.0,79.0,79.0,151.0,151.0,221.0,222.0,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
204,pull_up,stu9_42.mp4,30.0,183.0,221.0,221.0,251.0,251.0,282.0,282.0,313.0,313.0,344.0,344.0,372.0,372.0,402.0,402.0,431.0,431.0,461.0,461.0,491.0,491.0,520.0,520.0,549.0,549.0,576.0,577.0,607.0,607.0,634.0,634.0,663.0,663.0,692.0,692.0,723.0,723.0,751.0,752.0,784.0,784.0,816.0,816.0,848.0,848.0,881.0,881.0,915.0,915.0,952.0,952.0,991.0,991.0,1029.0,1029.0,1072.0,1072.0,1119.0,1179.0,1229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
205,front_raise,stu2_17.mp4,5.0,48.0,147.0,147.0,298.0,298.0,428.0,428.0,559.0,561.0,695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
206,front_raise,stu9_16.mp4,6.0,46.0,127.0,128.0,202.0,202.0,285.0,285.0,361.0,361.0,480.0,480.0,604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
207,bench_pressing,stu7_0.mp4,1.0,428.0,573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
208,front_raise,stu1_15.mp4,1.0,59.0,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
209,front_raise,stu7_23.mp4,4.0,0.0,100.0,100.0,201.0,203.0,318.0,318.0,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
211,jump_jacks,stu8_30.mp4,58.0,7.0,35.0,35.0,63.0,63.0,91.0,91.0,117.0,117.0,142.0,142.0,171.0,171.0,197.0,197.0,225.0,225.0,252.0,252.0,279.0,279.0,308.0,308.0,335.0,335.0,361.0,361.0,388.0,388.0,415.0,415.0,440.0,440.0,467.0,467.0,497.0,497.0,522.0,522.0,549.0,549.0,576.0,576.0,603.0,603.0,629.0,629.0,653.0,653.0,682.0,682.0,711.0,711.0,738.0,738.0,767.0,767.0,792.0,792.0,819.0,819.0,847.0,847.0,874.0,874.0,900.0,900.0,928.0,928.0,955.0,955.0,980.0,980.0,1006.0,1006.0,1033.0,1033.0,1059.0,1059.0,1088.0,1088.0,1116.0,1116.0,1142.0,1142.0,1169.0,1169.0,1196.0,1196.0,1224.0,1224.0,1250.0,1250.0,1277.0,1277.0,1305.0,1305.0,1332.0,1332.0,1359.0,1359.0,1386.0,1386.0,1413.0,1413.0,1441.0,1441.0,1467.0,1467.0,1493.0,1493.0,1521.0,1521.0,1548.0,1548.0,1574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
212,bench_pressing,stu9_5.mp4,13.0,81.0,131.0,131.0,172.0,172.0,238.0,239.0,284.0,284.0,334.0,334.0,385.0,385.0,455.0,930.0,981.0,981.0,1008.0,1008.0,1039.0,1039.0,1068.0,1068.0,1091.0,1091.0,1124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
213,squat,stu2_72.mp4,12.0,2.0,75.0,75.0,133.0,133.0,192.0,193.0,254.0,254.0,313.0,313.0,370.0,370.0,434.0,434.0,490.0,490.0,556.0,556.0,613.0,613.0,672.0,672.0,733.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
214,bench_pressing,stu6_5.mp4,12.0,63.0,163.0,163.0,306.0,534.0,598.0,598.0,675.0,675.0,762.0,856.0,957.0,1020.0,1105.0,1105.0,1186.0,1186.0,1186.0,1186.0,1303.0,1303.0,1398.0,1399.0,1550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
215,bench_pressing,stu9_10.mp4,16.0,234.0,282.0,282.0,320.0,320.0,359.0,359.0,394.0,394.0,429.0,429.0,466.0,466.0,505.0,505.0,544.0,544.0,583.0,583.0,629.0,649.0,696.0,704.0,758.0,759.0,813.0,849.0,903.0,961.0,1018.0,1215.0,1320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
216,sit_up,stu10_59.mp4,9.0,122.0,253.0,253.0,330.0,330.0,405.0,405.0,477.0,478.0,560.0,561.0,639.0,640.0,709.0,709.0,795.0,796.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
217,pull_up,test1465.mp4,6.0,8.0,47.0,47.0,85.0,85.0,132.0,132.0,171.0,171.0,213.0,213.0,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
218,pull_up,stu7_38.mp4,20.0,16.0,83.0,84.0,156.0,156.0,229.0,229.0,303.0,303.0,382.0,382.0,455.0,455.0,540.0,540.0,619.0,619.0,696.0,697.0,774.0,776.0,851.0,851.0,928.0,928.0,1016.0,1016.0,1094.0,1094.0,1182.0,1184.0,1261.0,1262.0,1354.0,1354.0,1465.0,1465.0,1581.0,1581.0,1827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
219,sit_up,stu9_61.mp4,5.0,11.0,67.0,67.0,123.0,123.0,182.0,182.0,227.0,227.0,279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
220,squat,train3944.mp4,2.0,5.0,89.0,106.0,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
221,jump_jacks,val568.mp4,55.0,1.0,8.0,9.0,12.0,12.0,17.0,17.0,22.0,22.0,29.0,29.0,35.0,36.0,41.0,41.0,45.0,45.0,50.0,50.0,55.0,55.0,60.0,60.0,66.0,66.0,72.0,72.0,77.0,77.0,82.0,82.0,87.0,87.0,92.0,92.0,97.0,97.0,102.0,102.0,107.0,107.0,112.0,112.0,117.0,117.0,123.0,123.0,128.0,129.0,133.0,134.0,138.0,139.0,144.0,144.0,149.0,149.0,154.0,154.0,160.0,160.0,166.0,166.0,171.0,171.0,175.0,176.0,181.0,181.0,187.0,187.0,192.0,192.0,198.0,198.0,204.0,204.0,209.0,209.0,214.0,214.0,219.0,219.0,224.0,225.0,229.0,229.0,235.0,235.0,241.0,241.0,245.0,246.0,251.0,251.0,256.0,256.0,262.0,262.0,267.0,267.0,272.0,272.0,278.0,278.0,283.0,284.0,289.0,289.0,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
222,front_raise,stu9_27.mp4,17.0,6.0,60.0,61.0,111.0,198.0,241.0,241.0,279.0,280.0,316.0,316.0,359.0,359.0,399.0,399.0,436.0,437.0,478.0,478.0,516.0,516.0,558.0,559.0,599.0,599.0,636.0,636.0,676.0,676.0,720.0,720.0,759.0,759.0,808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
223,sit_up,train3303.mp4,2.0,0.0,166.0,166.0,299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
224,pull_up,stu3_34.mp4,5.0,166.0,401.0,401.0,496.0,687.0,937.0,938.0,1043.0,1406.0,1467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
225,bench_pressing,stu1_10.mp4,3.0,292.0,584.0,584.0,906.0,1141.0,1840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
226,bench_pressing,test153.mp4,5.0,5.0,27.0,27.0,67.0,67.0,132.0,132.0,184.0,184.0,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
227,bench_pressing,stu4_3.mp4,4.0,97.0,97.0,234.0,315.0,316.0,383.0,396.0,502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
228,pull_up,stu9_38.mp4,5.0,46.0,126.0,126.0,219.0,220.0,319.0,348.0,421.0,421.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
229,pull_up,stu8_39.mp4,16.0,1.0,22.0,22.0,48.0,48.0,73.0,73.0,123.0,123.0,159.0,159.0,200.0,200.0,240.0,240.0,294.0,294.0,336.0,336.0,379.0,379.0,423.0,423.0,481.0,481.0,534.0,534.0,584.0,584.0,638.0,638.0,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
230,jump_jacks,val578.mp4,2.0,5.0,60.0,60.0,299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
231,bench_pressing,stu7_2.mp4,19.0,295.0,353.0,355.0,385.0,386.0,416.0,417.0,449.0,449.0,481.0,483.0,516.0,517.0,548.0,549.0,582.0,582.0,616.0,617.0,649.0,651.0,684.0,685.0,719.0,720.0,756.0,756.0,795.0,797.0,838.0,839.0,894.0,896.0,963.0,963.0,1032.0,1034.0,1169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
232,front_raise,val359.mp4,1.0,3.0,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
233,squat,stu2_69.mp4,21.0,468.0,568.0,568.0,636.0,636.0,710.0,710.0,770.0,770.0,837.0,837.0,899.0,899.0,965.0,965.0,1031.0,1032.0,1087.0,1087.0,1156.0,1156.0,1221.0,1221.0,1276.0,1276.0,1338.0,1338.0,1408.0,1409.0,1475.0,1475.0,1533.0,1533.0,1604.0,1604.0,1669.0,1669.0,1728.0,1729.0,1782.0,1782.0,1845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
234,sit_up,stu2_66.mp4,6.0,7.0,88.0,89.0,174.0,174.0,258.0,258.0,391.0,391.0,499.0,499.0,604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
